altitude_km,r_m,k_tension_N_per_m,k_gg_trans_N_per_m,k_gg_sign,ratio
98258.56,104636660.67,1.448663e+01,1.501208e-05,stabilizing,964998.2713680522
98321.89,104699985.74,1.446184e+01,1.498829e-05,stabilizing,964875.774119007
98385.21,104763310.81,1.443707e+01,1.496451e-05,stabilizing,964753.6038507123
98448.54,104826635.87,1.441232e+01,1.494075e-05,stabilizing,964631.759434998
98511.86,104889960.94,1.438760e+01,1.491700e-05,stabilizing,964510.2397485462
98575.19,104953286.01,1.436291e+01,1.489327e-05,stabilizing,964389.04366878
98638.51,105016611.07,1.433824e+01,1.486955e-05,stabilizing,964268.1700820117
98701.84,105079936.14,1.431359e+01,1.484585e-05,stabilizing,964147.617878875
98765.16,105143261.20,1.428897e+01,1.482216e-05,stabilizing,964027.3859529424
98828.49,105206586.27,1.426437e+01,1.479848e-05,stabilizing,963907.4732020606
98891.81,105269911.34,1.423980e+01,1.477482e-05,stabilizing,963787.8785333161
98955.14,105333236.40,1.421525e+01,1.475118e-05,stabilizing,963668.600852125
99018.46,105396561.47,1.419072e+01,1.472755e-05,stabilizing,963549.6390730942
99081.79,105459886.54,1.416622e+01,1.470393e-05,stabilizing,963430.9921150078
99145.11,105523211.60,1.414175e+01,1.468033e-05,stabilizing,963312.6588994438
99208.44,105586536.67,1.411730e+01,1.465674e-05,stabilizing,963194.6383521113
99271.76,105649861.74,1.409287e+01,1.463317e-05,stabilizing,963076.9294073592
99335.09,105713186.80,1.406847e+01,1.460962e-05,stabilizing,962959.5309999934
99398.41,105776511.87,1.404409e+01,1.458608e-05,stabilizing,962842.4420697873
99461.74,105839836.94,1.401974e+01,1.456255e-05,stabilizing,962725.6615628167
99525.06,105903162.00,1.399541e+01,1.453904e-05,stabilizing,962609.1884300795
99588.39,105966487.07,1.397111e+01,1.451555e-05,stabilizing,962493.0216229389
99651.71,106029812.13,1.394683e+01,1.449207e-05,stabilizing,962377.1601012588
99715.04,106093137.20,1.392258e+01,1.446860e-05,stabilizing,962261.6028293017
99778.36,106156462.27,1.389835e+01,1.444515e-05,stabilizing,962146.3487716308
99841.69,106219787.33,1.387415e+01,1.442172e-05,stabilizing,962031.3969016931
99905.01,106283112.40,1.384997e+01,1.439831e-05,stabilizing,961916.7461950042
99968.34,106346437.47,1.382582e+01,1.437491e-05,stabilizing,961802.3956313897
