strategy,n_depots,depot_index,altitude_m,altitude_km
hybrid,10,4,28628800.0,28628.8
hybrid,10,5,35786000.0,35786.0
hybrid,10,6,48628800.0,48628.8
hybrid,10,7,61471600.0,61471.6
hybrid,10,8,74314400.0,74314.4
hybrid,10,9,87157200.0,87157.2
hybrid,15,0,0.0,0.0
hybrid,15,1,5112285.714285715,5112.285714285715
hybrid,15,2,10224571.42857143,10224.57142857143
hybrid,15,3,15336857.142857144,15336.857142857143
hybrid,15,4,20449142.85714286,20449.14285714286
hybrid,15,5,25561428.571428575,25561.428571428576
hybrid,15,6,30673714.285714287,30673.714285714286
hybrid,15,7,35786000.0,35786.0
hybrid,15,8,43812750.0,43812.75
hybrid,15,9,51839500.0,51839.5
hybrid,15,10,59866250.0,59866.25
hybrid,15,11,67893000.0,67893.0
hybrid,15,12,75919750.0,75919.75
hybrid,15,13,83946500.0,83946.5
hybrid,15,14,91973250.0,91973.25
hybrid,20,0,0.0,0.0
hybrid,20,1,3578600.0,3578.6
hybrid,20,2,7157200.0,7157.2
hybrid,20,3,10735800.0,10735.8
hybrid,20,4,14314400.0,14314.4
hybrid,20,5,17893000.0,17893.0
hybrid,20,6,21471600.0,21471.6
hybrid,20,7,25050200.0,25050.2
hybrid,20,8,28628800.0,28628.8
hybrid,20,9,32207400.0,32207.4
hybrid,20,10,35786000.0,35786.0
hybrid,20,11,42207400.0,42207.4
hybrid,20,12,48628800.0,48628.8
hybrid,20,13,55050200.0,55050.2
hybrid,20,14,61471600.0,61471.6
hybrid,20,15,67893000.0,67893.0
hybrid,20,16,74314400.0,74314.4
hybrid,20,17,80735800.0,80735.8
hybrid,20,18,87157200.0,87157.2
hybrid,20,19,93578600.0,93578.6
